,video_name,transcript,Comment (на документ),start,end,glosses,speaker,is_train
36,RSLM-b26-s60-seg6,"Муж встал, подошел к двери, открыл, а там — толстый человек, радостно ржет.",,25.13,32.4,встать шагать шагать CLF:человек.двигаться дверь.открыть дверь.открыть CLF:человек.двигаться толстый толстый друг радоваться ржать разговаривать разговаривать,s60,True
37,RSLM-b26-s60-seg7,"Ладно, пригласил [войти].",,32.43,33.74,пригласить,s60,True
38,RSLM-b26-s60-seg8,"Мужчина сел в кресло, дымит трубкой, ржет и громко что-то рассказывает.",,35.555,42.425,наглость сесть кресло трубка дым.распространяться и ржать рассказывать возбужденный,s60,True
39,RSLM-b26-s60-seg9,Муж с женой слушают его.,,42.675,46.755,девочка жена CLF:человек:два INDX слушать рассказывать возбужденный слушать,s60,True
40,RSLM-b26-s60-seg10,Пригласили за стол.,,47.045,48.445,пригласить стол,s60,True
41,RSLM-b26-s60-seg11,"Сидят за столом, подали еду, чайник.",,48.725,51.285,чай подать подать еда подать чайник.поставить стол PRTCL2,s60,True
42,RSLM-b26-s60-seg12,Муж с женой слушают.,,51.305,53.115,мальчик девочка они:Du слушать,s60,True
43,RSLM-b26-s60-seg13,Толстый громко что-то рассказывает.,,53.215,57.015,толстый лекция? рассказывать возбужденный делиться INDX,s60,True
44,RSLM-b26-s60-seg14,"Слушают вежливо, а время идет.",,57.38,59.58,слушать время время.идти,s60,True
45,RSLM-b26-s60-seg15,Жена внимательно слушает.,,59.75,60.87,жена вежливость внимательный девочка,s60,True
46,RSLM-b26-s60-seg16,Потом вышла.,,60.89,62.205,жена выйти,s60,True
47,RSLM-b26-s60-seg17,"Открыли коробку, тас сигареты лежат.",,62.51,64.97,открыть.коробка коробка сигарета сигареты.лежать PRTCL1 вот вот,s60,True
48,RSLM-b26-s60-seg18,Мужчина рассказывает.,,64.99,67.55,мужчина рассказывать аргументировать рассказывать,s60,True
49,RSLM-b26-s60-seg19,Худой мужчина вежливо слушает.,,67.555,70.555,мужчина вежливость худой мужчина вежливость,s60,True
50,RSLM-b26-s60-seg20,Прошло время.,,70.675,72.275,время.идти,s60,True
51,RSLM-b26-s60-seg21,"Жена вошла, пригласила за стол, вино поставила на поднос, бокалы.",,72.655,76.695,войти пригласить вино чайник.поставить поднос молоко поставить.кружка,s60,True
52,RSLM-b26-s60-seg22,"Муж худой вежливо [терпит], толстый мужчина громко рассказывает.",,77.085,81.565,худой вежливость мужчина толстый возбужденный рассказывать,s60,True
53,RSLM-b26-s60-seg23,"Все, выпили, муж с женой начали уставать, зевать, скучать.",,82.255,87.815,пить:DISTR мальчик муж девочка жена они:DU начать устать клонить.в.сон,s60,True
54,RSLM-b26-s60-seg24,?,,87.83,90.43,думать быстрый INDX выгнать мечтать,s60,True
55,RSLM-b26-s60-seg25,"Толстый рассказывает, курит трубку, клубы дыма, они пьют, громко рассказывает.",,90.985,95.585,рассказывать курить.трубка дым.распространяться вино? пить:DISTR рассказывать возбужденный,s60,True
56,RSLM-b26-s60-seg26,"[Муж с женой] терпят, им надоело, смотрят на него терпят.",,95.605,100.765,INDX сдаться клонить.в.сон пелена смотреть терпеть,s60,True
57,RSLM-b26-s60-seg27,А тот все рассказывает громко.,,100.87,103.38,рассказывать возбужденный смотреть терпеть,s60,True
58,RSLM-b26-s60-seg28,Муж тихо отошел.,,103.62,105.82,мужчина муж быть:PAST встать CLF:человек.двигаться,s60,True
59,RSLM-b26-s60-seg29,"Толстый пьет, вино хорошее, захмелел.",,106.275,108.615,INDX вино хороший налить пить пьяный?,s60,True
60,RSLM-b26-s60-seg30,"Время идет, уже ночь.",,108.875,111.145,время время.идти уже ночь,s60,True
61,RSLM-b26-s60-seg31,"Супруги надеются, что он скоро уйдет.",,111.485,114.255,быстрый надеяться IMP домой надеяться,s60,True
62,RSLM-b26-s60-seg32,"Мужчина сидит в кресле, пьет вино, курит.",,114.78,118.4,сидеть кресло вино пить курить пить мужчина,s60,True
63,RSLM-b26-s60-seg33,"Они [терпят], переоделись в ночное.",,118.545,121.475,переодеться ночь весь переодеться,s60,True
64,RSLM-b26-s60-seg34,"Обману его, пусть подумает, что ложимся спать.",,121.5,125.9,INDX что я спать^ложиться вот-вот мужчина обман рассказывать,s60,True
65,RSLM-b26-s60-seg35,"Ладно, муж с женой легли, укрылись одеялом.",,125.92,128.87,муж лежать одеяло спать,s60,True
66,RSLM-b26-s60-seg36,"А толстый бессовестно залез [в кровать], лег между супругов, [продолжил] громко рассказывать.",,129.33,134.45,совесть^ноль залезть лежать лежать лечь начать рассказывать возбужденный возюужденный,s60,True
67,RSLM-b26-s61-seg1,Муж и жена.,,4.8,6.93,муж и жена вот,s61,True
68,RSLM-b26-s61-seg2,"Муж худой, сидит на стуле нога на ногу, смотрит в книгу.",,7.725,12.725,стул сидеть худой человек нога.на.ногу книга.держать книга.держать смотреть,s61,True
69,RSLM-b26-s61-seg3,"Его жена сидит рядом, вяжет.",,12.745,17.235,POSS сидеть рядом сидеть вязать слышать,s61,True
70,RSLM-b26-s61-seg4,"Слышат — кто-то пришел, звонят в дверь.",,17.24,19.6,INDX кто прийти звонить.дверь,s61,True
71,RSLM-b26-s61-seg5,"Муж встал, пошел, открыл дверь.",,19.61,22.49,мальчик муж чувствовать шагать дверь.открыть,s61,True
72,RSLM-b26-s61-seg6,"Там мужчина толстый, толстое лицо с усами.",,22.5,28.13,ах не.мочь INDX мальчик INDX толстый толстое.лицо шляпа усы толстые.щеки толстый,s61,True
73,RSLM-b26-s61-seg7,"Обнялись, пригласил его в дом, сели.",,28.155,31.235,? обнять пригласить сидеть,s61,True
74,RSLM-b26-s61-seg8,"Муж уступил свое кресло гостю, своему другу.",,32.715,39.925,муж стул INDX наоборот встать.со.стула гость мальчик друг POSS сидеть кресло,s61,True
75,RSLM-b26-s61-seg9,"Разговаривают, потом еду принесли.",,39.95,44.61,потом еда INDX еда предоставить,s61,True
76,RSLM-b26-s61-seg10,"Из кухни в комнату принесли, сели.",,44.735,47.025,INDX кухня сидеть,s61,True
77,RSLM-b26-s61-seg11,"Чай пьют, разговаривают долго.",,47.71,51.21,пить разговаривать потом долгий,s61,True
78,RSLM-b26-s61-seg12,"Потом пошли покурить, болтают.",,51.625,53.905,курить разговаривать курить,s61,True
79,RSLM-b26-s61-seg13,"Дорогие, тонкие.",,53.925,55.345,CLF:длинный.тонкий.предмет,s61,True
80,RSLM-b26-s61-seg14,А муж обычную трубку курит.,,55.355,57.555,INDX муж обычный трубка,s61,True
81,RSLM-b26-s61-seg15,Потом принесли бутылку алкоголя на подносе для гостя.,,57.965,64.11,пить.алкоголь стол бутылка поднос предоставить предоставить мальчик именно? именно POSS друг предоставить жена,s61,True
82,RSLM-b26-s61-seg16,"Жена мужу: молчи, будь вежливым.",,64.11,67.05,муж INDX молчать вежливость,s61,True
83,RSLM-b26-s61-seg17,"Время идет, долго сидят.",,67.09,70.22,стрелка.двигаться закончить долгий,s61,True
84,RSLM-b26-s61-seg18,"Друг мужа рассказывает новости, тосты произносит.",,70.255,76.125,POSS друг рассказывать тост рассказывать новости разный время,s61,True
85,RSLM-b26-s61-seg19,"Время идет, нужно ложиться спать.",,76.14,79.0,стрелка.двигаться пора нужно спать^ложиться спать^ложиться PRTCL2,s61,True
86,RSLM-b26-s61-seg20,"Жена и муж переоделись, готовы лечь спать.",,79.33,82.63,POSS муж одежда быть.готовым спать^ложиться,s61,True
87,RSLM-b26-s61-seg21,"А друг упрямый, все рассказывает что-то, вино наливает.",,82.92,88.745,муж POSS друг упрямый рассказывать рассказывать вино налить кружка рассказывать муж,s61,True
88,RSLM-b26-s61-seg22,Муж и жена легли спать в кровать.,,88.745,92.395,муж жена INDX собираться спать^ложиться кровать,s61,True
89,RSLM-b26-s61-seg23,"Муж и жена лежат, а его друг лег в центр между ними и опять болтает, они уснули.",,92.76,100.36,лежать и жена лежать POSS друг центр кровать лежать рассказывать CLF:человек закончить уснуть,s61,True
90,RSLM-m1-s54-d-seg1,Дома.,,0.57,2.79,дом:PL,s54,True
91,RSLM-m1-s54-d-seg2,Табличка,,3.39,4.66,табличка надпись,s54,True
92,RSLM-m1-s54-d-seg3,Надпись.,,4.66,5.51,надпись общество общество,s54,True
93,RSLM-m1-s54-d-seg4,Общество любителей птиц.,,5.51,8.6,общество общество любить птица п-т-и-ц,s54,True
94,RSLM-m1-s54-d-seg5,Табличка.,,8.61,10.26,табличка,s54,True
95,RSLM-m1-s54-d-seg6,Фигура с биноклем.,,10.268,11.45,смотреть.бинокль,s54,True
96,RSLM-m1-s54-d-seg7,Из окна высовывается кот с ушами.,,11.45,13.95,окно подоконник подоконник кот уши,s54,True
97,RSLM-m1-s54-d-seg8,Смотрит.,,13.958,14.798,смотреть в бинокль уши,s54,True
98,RSLM-m1-s54-d-seg9,Уши торчат.,,14.798,15.708,уши смотреть.бинокль смотреть.бинокль,s54,True
99,RSLM-m1-s54-d-seg10,Смотрит в бинокль.,,15.708,17.188,смотреть.бинокль смотреть.бинокль INDX,s54,True
100,RSLM-m1-s54-d-seg11,Кот смотрит.,,17.19,18.79,кот кот смотреть.бинокль смотреть.бинокль INDX,s54,True
101,RSLM-m1-s54-d-seg12,Смотрит на окно в высоком доме напротив.,,18.79,21.46,дом дом высокий дом напротив напротив окно бинокль,s54,True
102,RSLM-m1-s54-d-seg13,Смотрит.,,21.478,21.928,смотреть окно:PL,s54,True
103,RSLM-m1-s54-d-seg14,Окна.,,21.928,23.312,окно:PL INDX,s54,True
104,RSLM-m1-s54-d-seg15,Там!,,23.312,23.862,INDX смотреть.бинокль смотреть.бинокль,s54,True
105,RSLM-m1-s54-d-seg16,Смотрит в бинокль.,,23.862,24.602,смотреть.бинокль смотреть.бинокль INDX,s54,True
106,RSLM-m1-s54-d-seg17,Там окно.,,24.61,25.62,окно клетка,s54,True
107,RSLM-m1-s54-d-seg18,В клетке сидит маленькая птица.,,25.66,28.14,клетка птица маленький,s54,True
108,RSLM-m1-s54-d-seg19,Жёлтая голова.,,28.14,29.12,клетка голова жёлтый,s54,True
109,RSLM-m1-s54-d-seg20,Милое лицо.,,29.13,29.73,милый,s54,True
110,RSLM-m1-s54-d-seg21,Птица тоже смотрит.,,29.73,31.46,птица так.же смотреть.бинокль,s54,True
111,RSLM-m1-s54-d-seg22,Глаза расширились.,,31.477,32.347,глаза.расшириться глаза расшириться смотреть.бинокль смотреть.бинокль,s54,True
112,RSLM-m1-s54-d-seg23,Смотрит в бинокль.,,32.347,33.577,смотреть.бинокль смотреть.бинокль INDX,s54,True
113,RSLM-m1-s54-d-seg24,Там кот смотрит.,,33.58,34.537,кот смотреть смотреть,s54,True
114,RSLM-m1-s54-d-seg25,Смотрят друг на друга.,,34.537,35.297,смотреть искры.лететь,s54,True
115,RSLM-m1-s54-d-seg26,Искры летят.,,35.297,35.947,искры.лететь опустить.бинокль опустить.бинокль,s54,True
116,RSLM-m1-s54-d-seg27,Опустил бинокль.,,35.947,37.037,опустить.бинокль опустить.бинокль,s54,True
117,RSLM-m1-s54-d-seg28,Как быть?,,37.06,37.92,опустить.бинокль быть,s54,True
118,RSLM-m1-s54-d-seg29,Кот потирает руки.,,37.93,39.0,опустить.бинокль потирать.руки бинокль,s54,True
119,RSLM-m1-s54-d-seg30,Бросил бинокль.,,39.01,39.725,бросить выбежать,s54,True
120,RSLM-m1-s54-d-seg31,Выбежал.,,39.725,40.925,выбежать бежать,s54,True
121,RSLM-m1-s54-d-seg32,Бежит.,,40.925,42.044,бежать этот,s54,True
122,RSLM-m1-s54-d-seg33,Вошла в этот дом.,,42.06,42.84,дом дом войти,s54,True
123,RSLM-m1-s54-d-seg34,Там где птица.,,42.85,44.314,где птица INDX кл:вход войти,s54,True
124,RSLM-m1-s54-d-seg35,Вошла.,,44.314,45.06,кл:вход войти,s54,True
125,RSLM-m1-s54-d-seg36,Там на двери табличка.,,45.06,46.34,INDX дверь дверь табличка,s54,True
126,RSLM-m1-s54-d-seg37,Надпись.,,46.344,46.97,надпись вход,s54,True
127,RSLM-m1-s54-d-seg38,"Вход собакам и собакам # нет, кошкам и собакам запрещён.",,46.99,51.66,собака и собака ?б= нет кошка и собака запрещён,s54,True
128,RSLM-m1-s54-d-seg39,Вход запрещён.,,51.66,52.77,вход запрещён запрещён,s54,True
129,RSLM-m1-s54-d-seg40,Кот вошёл.,,52.77,53.41,кот CLF:человек:войти,s54,True
130,RSLM-m1-s54-d-seg41,Прошло некоторое время.,,53.414,54.084,позже CLF:человек:вылететь CLF:человек:вылететь,s54,True
131,RSLM-m1-s54-d-seg42,Вылетел.,,54.084,55.42,CLF:человек:вылететь CLF:человек:вылететь,s54,True
132,RSLM-m1-s54-d-seg43,Валяются мусорные баки.,,55.42,56.87,мусор бак перевёрнутые банка,s54,True
133,RSLM-m1-s54-d-seg44,Валяются консервные банки.,,56.87,59.43,?консервный банка банка б-а-н-к-а перевёрнутый,s54,True
134,RSLM-m1-s54-d-seg45,Кот упал.,,59.44,60.33,упасть упасть банка,s54,True
135,RSLM-m1-s54-d-seg46,На голове консервная банка как шапка.,,60.35,61.77,козырёк козырёк,s54,True
136,RSLM-m1-s54-d-seg47,Лежит.,,61.813,63.013,лежать лежать как,s54,True
137,RSLM-m1-s54-d-seg48,"Как, как?",,63.013,64.363,как руки.на.пояс руки.на.пояс,s54,True
138,RSLM-m1-s54-d-seg49,Руки в боки.,,64.363,64.863,руки.на.пояс руки.на.пояс думать,s54,True
139,RSLM-m1-s54-d-seg50,Думает.,,64.863,65.093,руки.на.пояс думать планировать,s54,True
140,RSLM-m1-s54-d-seg51,Планирует.,,65.093,65.643,планировать,s54,True
141,RSLM-m1-s54-d-seg52,Всё.,,65.647,66.397,всё,s54,True
142,RSLM-m1-s57-d-seg1,Там тот же дом.,,1.635,4.78,дом дом INDX тот.же высокий.дом:PL,s57,True
143,RSLM-m1-s57-d-seg2,,,4.78,4.795,высокий.дом:PL,s57,True
144,RSLM-m1-s57-d-seg3,Стоят разные высокие дома.,,4.795,7.754,разный высокий.дом:PL камера.двигаться,s57,True
145,RSLM-m1-s57-d-seg4,Двигается камера.,,7.754,10.274,камера.двигаться до до,s57,True
146,RSLM-m1-s57-d-seg5,До дома.,,10.285,11.375,INDX дом,s57,True
147,RSLM-m1-s57-d-seg6,Высокий дом.,,11.384,12.534,стена стена окно:PL,s57,True
148,RSLM-m1-s57-d-seg7,Окна.,,12.534,13.77,стена окно:PL,s57,True
149,RSLM-m1-s57-d-seg8,"Там кот с ушами, щёками и усами.",,13.77,17.99,стена INDX кот ухо щека усы,s57,True
150,RSLM-m1-s57-d-seg9,Смотрит в бинокль.,,18.276,21.586,смотреть.бинокль отодвинуть.бинокль отодвинуть.бинокль,s57,True
151,RSLM-m1-s57-d-seg10,Отложил бинокль.,,21.586,22.726,отодвинуть.бинокль отодвинуть.бинокль INDX,s57,True
152,RSLM-m1-s57-d-seg11,Там в соседнем доме золотая клетка.,,22.74,29.61,рядом дом INDX клетка клетка золотой тот.же клетка клетка птица,s57,True
153,RSLM-m1-s57-d-seg12,Там птица канарейка тоже смотрит в бинокль.,,29.61,32.75,INDX к-а-н-а-р-е-й-к-а тот.же смотреть.бинокль смотреть.бинокль,s57,True
154,RSLM-m1-s57-d-seg13,Он тоже смотрит.,,32.78,35.02,тоже смотреть.бинокль смотреть.бинокль похоже похоже,s57,True
155,RSLM-m1-s57-d-seg14,Похоже смотрит.,,35.02,35.737,смотреть.бинокль смотреть.друг.на.друга,s57,True
156,RSLM-m1-s57-d-seg15,Смотрят друг на друга.,,35.737,36.597,смотреть.друг.на.друга опустить.бинокль,s57,True
157,RSLM-m1-s57-d-seg16,Опустил бинокль.,,36.597,37.733,опустить.бинокль смотреть.бинокль смотреть.бинокль,s57,True
158,RSLM-m1-s57-d-seg17,Смотрит в бинокль.,,37.733,39.593,смотреть.бинокль смотреть.бинокль CLF:человек:спуститься,s57,True
159,RSLM-m1-s57-d-seg18,Спустился.,,39.593,40.513,CLF:человек:спуститься,s57,True
160,RSLM-m1-s57-d-seg19,Бежит.,,40.515,42.42,бежать,s57,True
161,RSLM-m1-s57-d-seg20,Хочет войти в квартиру.,,42.42,44.525,войти POSS мечтать квартира INDX готов [для него было готово],s57,True
162,RSLM-m1-s57-d-seg21,Готов.,,44.525,45.24,готов [для него было готово] выстрел,s57,True
163,RSLM-m1-s57-d-seg22,Вошёл.,,45.24,45.895,войти не.знать,s57,True
164,RSLM-m1-s57-d-seg23,Не знаю.,,45.895,46.135,не.знать CLF:человек:вылететь,s57,True
165,RSLM-m1-s57-d-seg24,Вылетел.,,46.135,47.505,CLF:человек:вылететь,s57,True
166,RSLM-m1-s57-d-seg25,Упал в мусорные баки.,,47.54,49.5,INDX мусор бак CLF:человек:вылететь,s57,True
167,RSLM-m1-s57-d-seg26,С бака слетела крышка.,,49.74,50.851,бак бак крышка отлететь мусор,s57,True
168,RSLM-m1-s57-d-seg27,Облеплен мусором.,,50.851,51.521,мусор стоять.в.мусор,s57,True
169,RSLM-m1-s57-d-seg28,Стоит.,,51.531,52.001,стоять.в.мусор стоять.в.мусор,s57,True
170,RSLM-m1-s57-d-seg29,Раздражён.,,52.011,53.071,стоять.в.мусор раздражён стоять,s57,True
171,RSLM-m1-s57-d-seg30,Стоит.,,53.071,55.031,стоять,s57,True
172,RSLM-m1-s59-d-seg1,Там тот же мультик.,,0.254,2.394,INDX PRTCL тот.же мультик INDX,s59,True
173,RSLM-m1-s59-d-seg2,Ну.,,3.094,3.83,ну ну PRTCL PRTCL трудно,s59,True
174,RSLM-m1-s59-d-seg3,Трудно.,,3.83,4.35,PRTCL трудно ладно,s59,True
175,RSLM-m1-s59-d-seg4,Ладно.,,4.35,4.72,PRTCL ладно INDX,s59,True
176,RSLM-m1-s59-d-seg5,#,,4.72,7.1,PRTCL INDX INDX не,s59,True
177,RSLM-m1-s59-d-seg6,Нет.,,7.1,7.48,INDX не INDX,s59,True
178,RSLM-m1-s59-d-seg7,Там действия нет.,,7.48,9.74,INDX INDX действие действие это без,s59,True
179,RSLM-m1-s59-d-seg8,Тот же мультик.,,9.74,10.9,INDX мультик тот.же PRTCL,s59,True
180,RSLM-m1-s59-d-seg9,Короткий.,,10.906,11.296,короткий всё,s59,True
181,RSLM-m1-s59-d-seg10,Всё.,,11.296,11.596,всё рассказывать,s59,True
182,RSLM-m1-s59-d-seg11,Расскажу об этом.,,11.6,12.42,это,s59,True
183,RSLM-m1-s59-d-seg12,#,,12.42,13.92,INDX = дом дом,s59,True
184,RSLM-m1-s59-d-seg13,Дом,,13.92,14.23,дом,s59,True
185,RSLM-m1-s59-d-seg14,США наверное.,,14.76,15.93,дом PRTCL США как.известно INDX США,s59,True
186,RSLM-m1-s59-d-seg15,Наверное.,,15.94,16.62,INDX примерно,s59,True
187,RSLM-m1-s59-d-seg16,Два высоких дома стоят напротив.,,16.65,19.641,INDX дом дом два высокий.дом высокий.дом напротив высокий.дом окно окно,s59,True
188,RSLM-m1-s59-d-seg17,Окна.,,19.641,20.36,окно окно,s59,True
189,RSLM-m1-s59-d-seg18,Кот сидит.,,20.36,21.74,окно кот CLF:человек:сидеть,s59,True
190,RSLM-m1-s59-d-seg19,Смотрит в бинокль.,,21.74,23.38,окно бинокль бинокль смотреть смотреть.бинокль INDX,s59,True
191,RSLM-m1-s59-d-seg20,Там в клетке сидит птица.,,23.38,25.25,клетка птица стена CLF:человек:сидеть,s59,True
192,RSLM-m1-s59-d-seg21,Тоже смотрит в бинокль.,,25.25,26.85,тот.же бинокль бинокль о-н смотреть,s59,True
193,RSLM-m1-s59-d-seg22,Смотрят друг на друга.,,26.855,27.235,смотреть.друг.на.друга бинокль бинокль,s59,True
194,RSLM-m1-s59-d-seg23,Смотрит в бинокль.,,27.235,28.575,бинокль бинокль ладно,s59,True
195,RSLM-m1-s59-d-seg24,Ладно.,,28.575,28.775,ладно очень.хотеть,s59,True
196,RSLM-m1-s59-d-seg25,Очень хочет.,,28.775,28.985,очень.хотеть дом CLF:человек:спуститься,s59,True
197,RSLM-m1-s59-d-seg26,Спустился.,,28.99,30.57,INDX,s59,True
198,RSLM-m1-s59-d-seg27,Вошёл в дом.,,30.61,31.82,дом дом войти PRTCL,s59,True
199,RSLM-m1-s59-d-seg28,Птицу украсть.,,31.82,32.37,птица украсть украсть,s59,True
200,RSLM-m1-s59-d-seg29,Хочет.,,32.382,32.832,украсть хотеть есть,s59,True
201,RSLM-m1-s59-d-seg30,Есть.,,32.832,33.1,украсть есть,s59,True
202,RSLM-m1-s59-d-seg31,"Кот, как известно.",,33.1,34.002,кот как.известно INDX дом CLF:человек:спуститься,s59,True
203,RSLM-m1-s59-d-seg32,Спустился.,,34.002,34.792,дом CLF:человек:спуститься незаметно,s59,True
204,RSLM-m1-s59-d-seg33,Не заметил.,,34.792,35.402,дом незаметно,s59,True
205,RSLM-m1-s59-d-seg34,На стене надпись.,,35.64,36.59,дом стена надпись,s59,True
206,RSLM-m1-s59-d-seg35,Вход кошкам и собакам воспрещён.,,36.59,39.23,дом вход вход кошка собака запретить INDX,s59,True
207,RSLM-m1-s59-d-seg36,Кот вошёл.,,39.24,40.25,вход CLF:человек:войти ждать,s59,True
208,RSLM-m1-s59-d-seg37,Через некоторое время вылетел.,,40.25,42.62,INDX CLF:человек:вылететь ?кто-то CLF:человек:вылететь INDX,s59,True
209,RSLM-m1-s59-d-seg38,В мусор влетел.,,42.64,43.79,?м-у-с-о-р CLF:человек:лететь бак крышка,s59,True
210,RSLM-m1-s59-d-seg39,Крышкой накрыло.,,43.79,45.615,PRTCL всё,s59,True
211,RSLM-m1-s59-d-seg40,Всё.,,45.615,45.925,всё,s59,True
212,RSLM-m2-s44-d-seg1,Кот ходит.,,1.512,4.012,кот ? ? CLF:человек:ходить CLF:человек:ходить INDX,s44,False
213,RSLM-m2-s44-d-seg2,Ушёл.,,4.042,6.6,CLF:человек:идти всё INDX INDX следующий.кадр,s44,False
214,RSLM-m2-s44-d-seg3,Следующий кадр.,,6.6,7.3,следующий.кадр,s44,False
215,RSLM-m2-s44-d-seg4,Кот ходит раздражённый.,,8.192,10.89,кот CLF:человек:идти INDX раздражаться улица CLF:человек:ходить рискнуть,s44,False
216,RSLM-m2-s44-d-seg5,Рискну.,,10.89,11.85,рискнуть карабкаться,s44,False
217,RSLM-m2-s44-d-seg6,Карабкается.,,11.85,12.96,карабкаться труба,s44,False
